Gene,Antibody,CellLine,ImagePrefix,FolderPath,Roi_X,Roi_Y,Skip,Annotation,Example
ATP13A5,HPA031772,U2OS,1978_H7_1,ATP13A5/HPA031772/U2OS,1313,1080,F,ED Fig 5b ATP13A5-201 (training (inferred)),F
ATP13A5,HPA031772,U2OS,1978_H7_2,ATP13A5/HPA031772/U2OS,1009,709,F,ED Fig 5b ATP13A5-201 (training (inferred)),T
CHID1,HPA039374,U-251MG,520_H8_1,CHID1/HPA039374/U-251MG,1373,410,F,ED Fig 5b CHID1-203 (training (inferred)),T
CHID1,HPA039374,U-251MG,520_H8_2,CHID1/HPA039374/U-251MG,916,789,F,ED Fig 5b CHID1-203 (training (inferred)),F
COPA,HPA028024,U2OS,283_D2_1,COPA/HPA028024/U2OS,115,120,F,ED Fig 5b COPA-201 (training (inferred)),F
COPA,HPA028024,U2OS,283_D2_2,COPA/HPA028024/U2OS,1297,1271,F,ED Fig 5b COPA-201 (training (inferred)),T
DDIT3,HPA058416,PC-3,1020_F8_1,DDIT3/HPA058416/PC-3,512,440,F,ED Fig 5b DDIT3-205 (Holdout 1 (test set)),T
DDIT3,HPA058416,PC-3,1020_F8_4,DDIT3/HPA058416/PC-3,1408,0,F,ED Fig 5b DDIT3-205 (Holdout 1 (test set)),F
EIF4G1,HPA028487,U-251MG,281_D7_1,EIF4G1/HPA028487/U-251MG,1241,42,F,ED Fig 5b EIF4G1-202 (training (inferred)),F
EIF4G1,HPA028487,U-251MG,281_D7_2,EIF4G1/HPA028487/U-251MG,1244,1166,F,ED Fig 5b EIF4G1-202 (training (inferred)),F
EIF4G1,HPA043866,U-251MG,792_C10_2,EIF4G1/HPA043866/U-251MG,1145,1182,F,ED Fig 5b EIF4G1-202 (training (inferred)),F
EIF4G1,HPA043866,U-251MG,792_C10_3,EIF4G1/HPA043866/U-251MG,788,348,F,ED Fig 5b EIF4G1-202 (training (inferred)),T
MESD,HPA039414,U2OS,517_A9_1,MESD/HPA039414/U2OS,930,1117,F,ED Fig 5b MESD-201 (Holdout 2),F
MESD,HPA039414,U2OS,517_A9_2,MESD/HPA039414/U2OS,0,1253,F,ED Fig 5b MESD-201 (Holdout 2),F
MESD,HPA041721,U2OS,758_E6_1,MESD/HPA041721/U2OS,1368,469,F,ED Fig 5b MESD-201 (Holdout 2),T
MESD,HPA041721,U2OS,758_E6_2,MESD/HPA041721/U2OS,899,560,F,ED Fig 5b MESD-201 (Holdout 2),F
N4BP2,HPA042607,U2OS,845_B9_1,N4BP2/HPA042607/U2OS,341,161,F,ED Fig 5b N4BP2-201 (Holdout 2),F
N4BP2,HPA042607,U2OS,845_B9_2,N4BP2/HPA042607/U2OS,1375,637,F,ED Fig 5b N4BP2-201 (Holdout 2),F
N4BP2,HPA072549,U2OS,1870_G7_1,N4BP2/HPA072549/U2OS,434,0,F,ED Fig 5b N4BP2-201 (Holdout 2),F
N4BP2,HPA072549,U2OS,1870_G7_2,N4BP2/HPA072549/U2OS,185,92,F,ED Fig 5b N4BP2-201 (Holdout 2),F
PSME3IP1,HPA054382,HeLa,869_C10_3,PSME3IP1/HPA054382/HeLa,152,0,F,ED Fig 5b PSME3IP1-217 (Holdout 2),F
PSME3IP1,HPA054382,HeLa,869_C10_4,PSME3IP1/HPA054382/HeLa,911,1060,F,ED Fig 5b PSME3IP1-217 (Holdout 2),T
PSME3IP1,HPA059652,HeLa,1061_C10_1,PSME3IP1/HPA059652/HeLa,216,437,F,ED Fig 5b PSME3IP1-217 (Holdout 2),F
PSME3IP1,HPA059652,HeLa,1061_C10_3,PSME3IP1/HPA059652/HeLa,547,306,F,ED Fig 5b PSME3IP1-217 (Holdout 2),F
RBM23,HPA004144,U-251MG,43_E2_1,RBM23/HPA004144/U-251MG,932,678,F,ED Fig 5b RBM23-203 (Holdout 2),T
RBM23,HPA004144,U-251MG,43_E2_2,RBM23/HPA004144/U-251MG,352,427,F,ED Fig 5b RBM23-203 (Holdout 2),F
N4BP2,HPA036770,U2OS,410_D12_1,N4BP2/HPA036770/U2OS,704,704,F,ED Fig 5b N4BP2-201 (Holdout 2),F
N4BP2,HPA036770,U2OS,410_D12_2,N4BP2/HPA036770/U2OS,418,468,F,ED Fig 5b N4BP2-201 (Holdout 2),T
